PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
14593,20211130,3571,AAPL,APPLE INC,334220,165.30000,16900358,0.104940,16406397,-0.018347,-0.046540,-0.008334
14593,20211231,3571,AAPL,APPLE INC,334220,177.57001,24442196,0.074229,16344923,0.033345,-0.001760,0.043613
84788,20120131,7370,AMZN,AMAZON COM INC,454110,194.44000,1160907,0.123281,455068,0.054140,0.085342,0.043583
84788,20120229,7370,AMZN,AMAZON COM INC,454110,179.69000,1524481,-0.075859,451592,0.041253,0.036494,0.040589
84788,20120330,7370,AMZN,AMAZON COM INC,454110,202.50999,1192559,0.126996,450000,0.024039,0.017608,0.031332
84788,20120430,7370,AMZN,AMAZON COM INC,454110,231.89999,1167696,0.145129,450526,-0.006840,-0.009106,-0.007497
84788,20120531,7370,AMZN,AMAZON COM INC,454110,212.91000,978741,-0.081889,450526,-0.065641,-0.068418,-0.062651
84788,20120629,7370,AMZN,AMAZON COM INC,454110,228.35001,694167,0.072519,452000,0.038181,0.034188,0.039555
84788,20120731,7370,AMZN,AMAZON COM INC,454110,233.30000,811847,0.021677,452065,0.010306,-0.003281,0.012598
84788,20120831,7370,AMZN,AMAZON COM INC,454110,248.27000,632852,0.064166,452065,0.026336,0.024819,0.019763
84788,20120928,7370,AMZN,AMAZON COM INC,454110,254.32001,669884,0.024369,453000,0.026532,0.034925,0.024236
84788,20121031,7370,AMZN,AMAZON COM INC,454110,232.89310,854023,-0.084252,452959,-0.014064,-0.013477,-0.019789
84788,20121130,7370,AMZN,AMAZON COM INC,454110,252.05000,648892,0.082256,452959,0.006219,0.002790,0.002847
84788,20121231,7370,AMZN,AMAZON COM INC,454110,250.87000,622229,-0.004682,454000,0.012580,0.021872,0.007068
84788,20130131,7370,AMZN,AMAZON COM INC,454110,265.50000,886216,0.058317,454551,0.054189,0.063509,0.050428
84788,20130228,7370,AMZN,AMAZON COM INC,454110,264.26999,721653,-0.004633,454967,0.008284,0.003491,0.011061
84788,20130328,7370,AMZN,AMAZON COM INC,454110,266.48999,622783,0.008401,455000,0.035320,0.031419,0.035988
84788,20130430,7370,AMZN,AMAZON COM INC,454110,253.81000,822621,-0.047581,455243,0.014942,0.002477,0.018086
84788,20130531,7370,AMZN,AMAZON COM INC,454110,269.20001,629395,0.060636,455243,0.019155,0.023985,0.020763
84788,20130628,7370,AMZN,AMAZON COM INC,454110,277.69000,625412,0.031538,457000,-0.015071,-0.013012,-0.014999
84788,20130731,7370,AMZN,AMAZON COM INC,454110,301.22000,712775,0.084735,456884,0.052690,0.054898,0.049462
84788,20130830,7370,AMZN,AMAZON COM INC,454110,280.98001,463909,-0.067193,456884,-0.025761,-0.017278,-0.031298
84788,20130930,7370,AMZN,AMAZON COM INC,454110,312.64001,464037,0.112677,458000,0.037514,0.051828,0.029749
84788,20131031,7370,AMZN,AMAZON COM INC,454110,364.03000,823283,0.164374,457734,0.039908,0.025762,0.044596
84788,20131129,7370,AMZN,AMAZON COM INC,454110,393.62000,576040,0.081285,457734,0.024973,0.023398,0.028049
84788,20131231,7370,AMZN,AMAZON COM INC,454110,398.79001,562732,0.013135,459000,0.026159,0.025240,0.023563
84788,20140131,7370,AMZN,AMAZON COM INC,454113,358.69000,811011,-0.100554,459265,-0.030047,-0.001282,-0.035583
84788,20140228,7370,AMZN,AMAZON COM INC,454113,362.10001,831240,0.009507,459894,0.046225,0.044257,0.043117
84788,20140331,7370,AMZN,AMAZON COM INC,454113,336.36499,753679,-0.071072,460000,0.004544,0.001028,0.006932
84788,20140430,7370,AMZN,AMAZON COM INC,454113,304.13000,1383566,-0.095833,460167,0.001569,-0.022319,0.006201
84788,20140530,7370,AMZN,AMAZON COM INC,454113,312.54999,788313,0.027685,460167,0.020260,0.006647,0.021030
84788,20140630,7370,AMZN,AMAZON COM INC,454113,324.78000,768726,0.039130,462000,0.027991,0.039501,0.019058
84788,20140731,7370,AMZN,AMAZON COM INC,454113,312.98999,994989,-0.036302,462036,-0.020567,-0.035223,-0.015080
84788,20140829,7370,AMZN,AMAZON COM INC,454113,339.04001,620794,0.083230,462036,0.040225,0.033697,0.037655
84788,20140930,7370,AMZN,AMAZON COM INC,454113,322.44000,681127,-0.048962,463000,-0.025209,-0.044988,-0.015514
84788,20141031,7370,AMZN,AMAZON COM INC,454113,305.45999,1112257,-0.052661,463006,0.021174,0.014199,0.023201
84788,20141128,7370,AMZN,AMAZON COM INC,454113,338.64001,689940,0.108623,463006,0.021114,-0.002458,0.024534
84788,20141231,7370,AMZN,AMAZON COM INC,454113,310.35001,869005,-0.083540,464384,-0.003662,-0.000189,-0.004189
84788,20150130,7370,AMZN,AMAZON COM INC,454113,354.53000,1031093,0.142355,464384,-0.027207,-0.019073,-0.031041
84788,20150227,7370,AMZN,AMAZON COM INC,454113,380.16000,708518,0.072293,465393,0.055974,0.054120,0.054893
84788,20150331,7370,AMZN,AMAZON COM INC,454113,372.10001,555089,-0.021202,466000,-0.010410,-0.005112,-0.017396
84788,20150430,7370,AMZN,AMAZON COM INC,454113,421.78000,844127,0.133512,465681,0.008776,0.015127,0.008521
84788,20150529,7370,AMZN,AMAZON COM INC,454113,429.23001,519909,0.017663,465681,0.010290,0.003970,0.010491
84788,20150630,7370,AMZN,AMAZON COM INC,454113,434.09000,550218,0.011323,468000,-0.019238,-0.013459,-0.021012
84788,20150731,7370,AMZN,AMAZON COM INC,454113,536.15002,1021489,0.235113,467710,0.012110,-0.027130,0.019742
84788,20150831,7370,AMZN,AMAZON COM INC,454113,512.89001,829193,-0.043383,467710,-0.059982,-0.047295,-0.062581
84788,20150930,7370,AMZN,AMAZON COM INC,454113,511.89001,767961,-0.001950,469000,-0.033793,-0.049906,-0.026443
84788,20151030,7370,AMZN,AMAZON COM INC,454113,625.90002,972463,0.222724,468762,0.074006,0.052851,0.082983
84788,20151130,7370,AMZN,AMAZON COM INC,454113,664.79999,873058,0.062150,468762,0.002410,0.007326,0.000505
